Gene mut_lof mut_silentCFPK mut_damaging dn_lof_SCZ dn_silentCFPK_SCZ dn_damaging_SCZ caseData1_SCZ caseData2_SCZ caseData3_SCZ controlData1_SCZ controlData2_SCZ controlData3_SCZ BF_SCZ PP_SCZ qvalue_SCZ dn_damaging_ASD dn_lof_ASD caseData_ASD controlData_ASD BF_ASD PP_ASD qvalue_ASD dn_damaging_DD dn_lof_DD BF_DD PP_DD qvalue_DD dn_damaging_ID dn_lof_ID BF_ID PP_ID qvalue_ID dn_damaging_EPI dn_lof_EPI BF_EPI PP_EPI qvalue_EPI
ARID1A 4.74088230060955e-06 1.71073e-05 1.41998e-05 0 0 0 1 0 0 3 1 2 0.312810473105198 0.0265156427845633 0.918864744492986 0 0 0 0 0.227453401253084 0.0104668056209017 0.954184968432856 1 2 359.676675067905 0.913105125926317 0.0130128484586074 1 0 4.71497365247519 0.109025349369417 0.503009569637453 0 0 0.362734680637759 0.00417878152915611 0.988286204185123
ARID1B 4.62395835261198e-06 2.38995e-05 9.81608e-06 0 0 0 0 0 1 1 0 3 0.623803923471368 0.051519136150626 0.911907205273314 0 7 0 0 2427954942.69249 0.99999999114338 2.67099042883245e-09 0 30 7.13127700602222e+57 1 0 0 8 4126571043667364 0.999999999999991 5.99520433297585e-15 0 0 0.45526758675172 0.00523919553024849 0.988173320555501
ARID2 3.85301400111731e-06 1.75907e-06 4.77139e-06 0 0 0 1 2 0 0 0 0 2.60003348036431 0.184603413267586 0.7125808315088 1 0 0 0 1.25722200117179 0.05523653397624 0.787997797710117 0 3 15336.9378833424 0.997773212198151 0.000212236398022772 0 0 0.337159352810493 0.0086743001505125 0.972986650587651 0 0 0.616133384884995 0.00707732890485499 0.987730634994276
ASH1L 7.3169680634205e-06 1.11606e-10 6.655e-06 0 0 0 0 0 1 0 0 1 0.827743652418036 0.0672298866134672 0.903663152613732 0 3 0 0 2024.48412923879 0.989489929098555 0.00130795460236798 0 2 10.0614173239518 0.227172629642816 0.408445391146877 0 0 0.146966075625156 0.00379967669121703 0.974053588382143 0 0 0.450685990316534 0.00518674422847405 0.988183169521349
ASIC2 1.49270600731199e-06 7.57779e-06 5.53001e-06 0 0 0 2 0 0 2 1 1 0.621522747343722 0.0513404093463114 0.911961422701603 0 0 0 0 0.599334224504295 0.0271157491491322 0.943929994800327 1 1 225.626424263647 0.868279007959884 0.0216912559863924 0 0 0.529804465822282 0.0135633720087722 0.970248629705598 0 0 0.688078430092566 0.00789721250088667 0.987336796368074
ASXL1 3.06207686144014e-06 2.08034e-06 6.26457e-06 0 0 0 4 3 2 3 1 2 2.42184993127805 0.174155570330332 0.721448900379685 0 0 0 0 0.407050558170007 0.0185778547914917 0.951238809832802 0 4 1891811.5169508 0.999981907443829 1.53103953406027e-06 0 0 0.365196171059197 0.00938884776447037 0.972682857427817 0 0 0.600608517974706 0.00690023019206578 0.987798733385413
ASXL3 3.78772564201285e-06 1.51045e-06 2.02049e-07 0 0 0 1 0 0 0 0 0 1.25556396616757 0.0985532228244823 0.860222592766262 0 2 0 0 233.629343522049 0.915716547464589 0.0277105678689593 0 14 2.00174494044477e+26 1 0 0 4 56851825.9861086 0.999999322245486 2.58517758596913e-07 0 0 0.779528751432601 0.00893742529875843 0.986429980919886
ATP8A1 4.14297920799062e-06 5.98168e-07 9.66967e-06 0 0 0 2 0 1 8 1 2 0.155735832052132 0.013379217200982 0.920079953117603 0 0 2 2 1.57566998818726 0.0682724600021106 0.761300199463897 0 0 0.00815899166894183 0.00023831277686984 0.970536523095678 2 0 211.594796987422 0.845951458674284 0.026171708584567 0 0 0.472719736766242 0.00543894160956191 0.988146289790476
AUTS2 2.93331467978904e-06 5.14064e-06 4.11188e-06 1 0 0 1 1 0 0 1 3 13.643265225957 0.542958053834805 0.352246545238906 0 0 0 0 0.443707749886238 0.0202170711091048 0.950187242003403 0 4 3091420.73327671 0.999988928085371 6.66224571885563e-07 0 0 0.424690004987534 0.0109017034178888 0.971992571868484 0 0 0.674974456662889 0.00774798087328162 0.987420051831945
AZI1 2.94687455898404e-06 1.68083e-05 9.90249e-06 0 0 0 2 0 0 2 0 4 0.8663852664592 0.0701482240279566 0.903226560619981 0 0 1 1 0.870733683769565 0.0389168486166614 0.907509634311891 3 0 206.520877172789 0.857825799437329 0.0225771599906298 0 0 0.303909442190038 0.00782555412491857 0.973278299526096 0 0 0.503764563703054 0.00579406252936691 0.988092894654774
B3GNT4 6.35802978994145e-07 3.62898e-07 2.03358e-06 0 0 0 1 0 1 1 0 3 0.960248672773579 0.0771616075215873 0.889114762211114 0 0 1 1 1.8418815363945 0.0788971267474009 0.733075045889202 0 0 0.42219051540743 0.0121842490388683 0.941553594556473 0 0 0.776773735409841 0.0197610205498761 0.958037709401568 0 1 77.6987352542292 0.473368866249432 0.276727861576851
BAZ2B 5.687750952203e-06 1.11606e-10 1.04146e-10 0 0 0 1 0 0 0 0 0 1.20083384088852 0.0946639514850394 0.86152221869286 0 1 4 0 805.623519187763 0.974002208924975 0.00394795866257497 0 1 1.3276813282276 0.0373405635187977 0.648642553239971 0 1 31.5070781285935 0.449852502348451 0.274828302426681 0 0 0.698844298232406 0.00801978356252053 0.9872541889704
BCL11A 1.37356400343921e-06 1.11606e-10 4.96658e-06 0 0 0 0 0 0 2 0 0 0.517643994320975 0.0431296728693016 0.914285189915136 0 2 0 0 382.724143035467 0.946803548708894 0.0132794415346857 2 3 50858622.0823456 0.999999326991158 2.86513801951952e-08 0 1 58.9716461936704 0.604817211477343 0.196168025014619 0 0 0.713260120041673 0.00818386248574043 0.987136760300149
BCLAF1 3.0402820802872e-06 1.11606e-10 1.29551e-06 0 0 0 1 0 0 1 0 0 0.903652642996611 0.0729455282228727 0.902299930003857 0 0 0 2 0.295427605180978 0.0135524073614978 0.953367138184417 0 0 0.0828659298024071 0.00241512831695134 0.966737482764813 0 0 0.488849065396147 0.0125280200335715 0.971017047143935 0 1 69.1628193181739 0.444479644141298 0.405340061370199
BNC2 2.05297069024416e-06 1.11606e-10 6.24624e-06 0 0 0 0 0 0 1 0 0 0.670776287205769 0.0551844394924415 0.910073043357499 0 0 0 0 0.515468866020284 0.023410245026577 0.947746780813795 1 1 129.574072121378 0.791038922940708 0.0381395155161513 0 0 0.451891579120353 0.01159186800198 0.971628088356999 0 0 0.640632531334943 0.00735667256482925 0.98761289670528
BNIP1 7.0010836254919e-07 6.44357e-07 2.32838e-06 0 0 0 0 0 0 2 0 0 0.52730170866585 0.043899021354203 0.913500274698267 0 1 1 0 57.7125337265721 0.728546348311931 0.0711488281879599 0 0 0.380752607928937 0.0110015241575999 0.945996495849814 0 0 0.753311422216227 0.0191755879107708 0.96035202674496 0 0 0.850345725520337 0.00974144419605885 0.985041547457416
BRPF1 2.76085071171998e-06 5.45339e-07 1.54224e-05 1 0 0 4 1 1 6 0 2 9.17925479887901 0.44422234732404 0.427264395427258 1 0 0 0 1.14460807233584 0.0505388504497735 0.795033159586111 0 4 492496.415907568 0.999930505186196 7.8081777408657e-06 0 0 0.23135443139877 0.00596844044027371 0.973737624603624 0 0 0.38650488068394 0.00445140038384702 0.988259748247733
C17orf53 1.49778191840061e-06 1.11606e-10 2.97989e-06 0 0 0 3 0 1 0 1 0 1.97076615679344 0.14646916570206 0.744689618959171 0 0 0 1 0.50550740531659 0.0229682318346393 0.948114308690341 0 0 0.186642939945042 0.00542330703391227 0.961130367970745 0 0 0.613127176917038 0.0156630815662536 0.967991999252436 1 0 56.3387614623916 0.394584511169558 0.470708541230713
C1QTNF6 4.24626733790102e-07 1.11473e-06 2.78097e-06 0 0 0 0 0 1 0 0 0 0.988785175734099 0.0792729040144757 0.866439954881904 0 0 0 0 0.831432662928903 0.0372257044265316 0.918470550411487 0 0 0.429518728346827 0.0123931173152167 0.940778221450941 0 0 0.777752006635296 0.019785415238374 0.957915701799927 1 0 60.9062961316758 0.413351414573781 0.442219110676976
C1orf56 5.22589884864395e-07 6.83239e-06 1.04146e-10 0 0 0 1 0 0 0 0 0 1.35523098211691 0.105550662928582 0.830953370622162 0 0 0 1 0.69167983657799 0.0311635511656842 0.937267825577485 0 0 0.676570205052773 0.0193832467639939 0.901880645866316 0 0 0.895466391323128 0.0227119665754476 0.933754408035296 0 1 86.7537329731625 0.500902256640996 0.0812051827381093
C5orf22 9.615688181474e-07 5.10093e-07 3.09816e-06 0 0 0 1 0 1 2 0 0 0.717766692936624 0.0588229151527854 0.904565214365513 0 0 0 1 0.572348665205944 0.0259264922362532 0.945368579097271 0 0 0.271487544348379 0.00786924684714297 0.955410837352088 0 0 0.681797675976796 0.0173868519606391 0.965189126600318 1 0 57.9238389321028 0.401231760777192 0.460228213925143
C9orf142 6.48988004374645e-07 4.65445e-06 4.75407e-07 0 0 0 0 0 0 0 1 0 0.639377668985583 0.052737519289507 0.911296376271716 0 0 0 0 0.838975086564373 0.0375507203332635 0.916515548978544 0 2 4384.89827663945 0.9922545044539 0.000742937771460979 0 0 0.848065125207881 0.0215356061159471 0.947101515439207 0 0 0.937000261820861 0.0107235014518236 0.980220032755059
CACNA1A 7.32193352696025e-06 2.57044e-05 2.16912e-05 0 0 0 1 2 0 4 0 1 0.718369837428975 0.0588694345937117 0.904543022266852 0 0 0 1 0.0849675201686013 0.00393578744498482 0.955111736127847 5 0 493.38428435444 0.935126028491077 0.0100350577085187 0 2 683.228473044795 0.946614382219658 0.0115739318865084 2 0 1083.47195860223 0.926113148015134 0.029462155640286
CACNA1E 6.21775639686035e-06 1.5369e-06 2.20975e-05 0 0 0 3 0 1 3 0 0 0.856589058937349 0.0694101126032542 0.903377404775779 1 0 0 0 0.426430661993442 0.0194451664685788 0.950668070681423 2 2 645.018262154467 0.949608395477712 0.00697213879868216 2 0 64.4535474349242 0.625852796789319 0.167915020573076 0 0 0.222937119252254 0.0025724264452858 0.988367489615594
CACNA2D3 3.57990604853254e-06 2.5251e-06 8.04355e-06 0 0 0 2 0 0 1 1 3 0.81614859950682 0.0663506149646313 0.90372272308585 0 2 0 0 200.100216753947 0.902964275402108 0.0311398193896631 0 0 0.0162788890516357 0.000475370919974481 0.970104781672955 0 0 0.295889590243979 0.00762061966624088 0.973339058713441 0 0 0.531512854931514 0.00611125989916981 0.988018395483221
CAMK2A 1.86552671505257e-06 1.18405e-06 3.62313e-06 0 0 0 1 0 0 0 0 0 1.31089485550357 0.102451364590379 0.854738018157572 1 0 0 0 2.07714192717597 0.0880868364393226 0.705150085732964 1 1 246.923953727186 0.878256987571188 0.0192503186841283 0 0 0.546730958349597 0.0139906397161667 0.969865011990977 0 0 0.740008192360777 0.0084881616598069 0.986886136797782
CAMTA1 3.9364274639481e-06 9.0073e-06 5.27855e-06 0 0 0 2 0 0 1 0 1 1.22708928148122 0.0965339138933622 0.860938725509663 0 0 0 0 0.341302945679631 0.0156240063386566 0.952661210244135 1 2 3345.85884543639 0.989873537668188 0.00135659018953003 0 0 0.321787007317175 0.00828208214155968 0.973138095296794 0 0 0.59741939592319 0.00686384270818664 0.98781229421673
CELSR1 5.7395628027978e-06 4.41085e-05 1.04146e-10 0 0 0 0 1 0 1 0 0 0.860064686961965 0.0696721236189881 0.903313415251188 0 0 0 1 0.206253942514785 0.00950053062083746 0.954389765806395 0 0 0.0153698917096131 0.000448838583933863 0.970152161713158 0 0 0.299802237982652 0.00772061168131406 0.973314307806417 0 1 62.171771054805 0.418346867300426 0.435604529502725
